127.0.0.1, 2011-11-29 17:23:00, GET, /, HTTP/1.1, 303, 0.000799
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.769573
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.003817
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001190
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/js/anytime.js, HTTP/1.1, 200, 0.000878
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/css/anytime.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.001712
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001445
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000359
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000383
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000387
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000352
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000772
127.0.0.1, 2011-11-29 17:23:01, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000351
127.0.0.1, 2011-11-29 17:44:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.021045
127.0.0.1, 2011-11-29 17:44:52, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.021082
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/, HTTP/1.1, 200, 0.128336
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001461
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001665
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002128
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000463
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000330
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000412
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000675
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002939
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001409
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001430
127.0.0.1, 2011-11-29 17:44:59, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.002141
127.0.0.1, 2011-11-29 17:44:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2011-11-29 17:45:02, POST, /admin/default/index, HTTP/1.1, 303, 0.022674
127.0.0.1, 2011-11-29 17:45:02, GET, /admin/default/site, HTTP/1.1, 200, 0.031234
127.0.0.1, 2011-11-29 17:45:02, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.002253
127.0.0.1, 2011-11-29 17:45:02, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002155
127.0.0.1, 2011-11-29 17:45:02, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000690
127.0.0.1, 2011-11-29 17:45:02, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001096
